OpenJDK 64-Bit Server VM (25.222-b10) for linux-amd64 JRE (1.8.0_222-b10), built on Jul 31 2019 18:11:17 by "mockbuild" with gcc 9.1.1 20190503 (Red Hat 9.1.1-1)
Memory: 4k page, physical 5983748k(765484k free), swap 9244668k(9244668k free)
CommandLine flags: -XX:+AggressiveOpts -XX:+ExplicitGCInvokesConcurrentAndUnloadsClasses -XX:InitialHeapSize=95739968 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=174485504 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:ParallelGCThreads=2 -XX:+ParallelRefProcEnabled -XX:+PrintGC -XX:+PrintGCTimeStamps -XX:+TieredCompilation -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
0.689: [GC (Allocation Failure)  25088K->5444K(91072K), 0.0113247 secs]
0.895: [GC (Allocation Failure)  30532K->9148K(91072K), 0.0139148 secs]
1.251: [GC (Allocation Failure)  34236K->12567K(91072K), 0.0118007 secs]
1.559: [GC (Allocation Failure)  37655K->15138K(91072K), 0.0082372 secs]
1.670: [GC (GCLocker Initiated GC)  40231K->21252K(91072K), 0.0110824 secs]
1.751: [GC (Allocation Failure)  46340K->29144K(91072K), 0.0121899 secs]
1.764: [GC (GCLocker Initiated GC)  29279K->32276K(91072K), 0.0037339 secs]
1.889: [GC (Allocation Failure)  57364K->36860K(91072K), 0.0105272 secs]
1.902: [GC (CMS Initial Mark)  37322K(91072K), 0.0014188 secs]
2.158: [GC (Allocation Failure)  61948K->40136K(91072K), 0.0095602 secs]
2.327: [GC (CMS Final Remark)  57516K(91072K), 0.0140486 secs]
2.425: [GC (Allocation Failure)  54406K->31323K(91072K), 0.0064924 secs]
2.598: [GC (Allocation Failure)  56411K->32478K(91072K), 0.0043795 secs]
2.945: [GC (Allocation Failure)  57566K->33479K(91072K), 0.0058830 secs]
17.178: [GC (Allocation Failure)  58566K->35595K(91072K), 0.0084186 secs]
17.192: [GC (Allocation Failure)  60656K->35920K(91072K), 0.0040198 secs]
17.502: [GC (Allocation Failure)  61008K->37854K(91072K), 0.0050797 secs]
17.863: [GC (Allocation Failure)  62942K->39293K(91072K), 0.0080126 secs]
17.871: [GC (CMS Initial Mark)  39693K(91072K), 0.0021482 secs]
17.900: [GC (CMS Final Remark)  41290K(91072K), 0.0162545 secs]
18.200: [GC (Allocation Failure)  52615K->29036K(91072K), 0.0081213 secs]
18.352: [GC (Allocation Failure)  54124K->29234K(91072K), 0.0048919 secs]
18.689: [GC (Allocation Failure)  54322K->30876K(91072K), 0.0083157 secs]
18.894: [GC (Allocation Failure)  55964K->32031K(91072K), 0.0086831 secs]
19.110: [GC (Allocation Failure)  57119K->33063K(91072K), 0.0069303 secs]
19.324: [GC (Allocation Failure)  58151K->33639K(91072K), 0.0057275 secs]
19.481: [GC (Allocation Failure)  58727K->35279K(91072K), 0.0071587 secs]
19.788: [GC (Allocation Failure)  60367K->37513K(91072K), 0.0079668 secs]
25.997: [GC (Allocation Failure)  62601K->39052K(91072K), 0.0095289 secs]
36.784: [GC (Allocation Failure)  64140K->41156K(91072K), 0.0121852 secs]
330.801: [GC (Allocation Failure)  66244K->41953K(91072K), 0.0094741 secs]
515.373: [GC (Allocation Failure)  67041K->42434K(91072K), 0.0121594 secs]
1715.437: [GC (Allocation Failure)  67522K->42188K(91072K), 0.0070890 secs]
2941.768: [GC (Allocation Failure)  67276K->40420K(91072K), 0.0049452 secs]
4143.407: [GC (Allocation Failure)  65508K->40686K(91072K), 0.0026934 secs]
5403.478: [GC (Allocation Failure)  65774K->40372K(91072K), 0.0053640 secs]
6674.244: [GC (Allocation Failure)  65460K->40341K(91072K), 0.0248371 secs]
7903.006: [GC (Allocation Failure)  65429K->40575K(91072K), 0.0034850 secs]
9165.962: [GC (Allocation Failure)  65663K->40266K(91072K), 0.0026080 secs]
9371.386: [GC (Allocation Failure)  65354K->42908K(91072K), 0.0119798 secs]
9391.460: [GC (Allocation Failure)  67995K->43622K(91072K), 0.0135144 secs]
9415.149: [GC (Allocation Failure)  68710K->44096K(91072K), 0.0135774 secs]
9522.736: [GC (Allocation Failure)  69184K->44398K(91072K), 0.0082848 secs]
9704.649: [GC (Allocation Failure)  69486K->45229K(91072K), 0.0151849 secs]
9777.772: [GC (Allocation Failure)  70317K->45806K(91072K), 0.0124175 secs]
9803.682: [GC (Allocation Failure)  70894K->46551K(91072K), 0.0163309 secs]
9850.496: [GC (Allocation Failure)  71639K->47408K(91072K), 0.0147470 secs]
11008.914: [GC (Allocation Failure)  72496K->47798K(91072K), 0.0082916 secs]
12295.200: [GC (Allocation Failure)  72886K->45612K(91072K), 0.0048461 secs]
